"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)","use","name","code","Min","Max"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","963","5.6",NA,NA,NA,"0.1","0.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","3,195","5.9",NA,NA,NA,"1.0","4.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","46,265","25.3",NA,NA,NA,"100","More"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","2,514","20",NA,NA,NA,"15.0","24.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","4,231","13",NA,NA,NA,"25.0","49.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","3,396","8.6",NA,NA,NA,"5.0","14.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","10,146","50.5",NA,NA,NA,"50.0","99.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","1,199","6.2",NA,NA,NA,"0.1","0.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","3,729","5.3",NA,NA,NA,"1.0","4.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","46,931","25",NA,NA,NA,"100","More"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","2,758","19.1",NA,NA,NA,"15.0","24.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","4,441","12.7",NA,NA,NA,"25.0","49.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","3,942","7.9",NA,NA,NA,"5.0","14.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES GROWN","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)","10,461","47.6",NA,NA,NA,"50.0","99.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)","236","13.2",NA,NA,NA,"0.1","0.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)","535","5.1",NA,NA,NA,"1.0","4.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)","666","4.2",NA,NA,NA,"100","More"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)","244","34.1",NA,NA,NA,"15.0","24.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)","210","37.3",NA,NA,NA,"25.0","49.9"
"CENSUS",2022,"YEAR",NA,"NATIONAL","US TOTAL",NA,NA,NA,NA,NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - ACRES NON-BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)","547","9.9",NA,NA,NA,"5.0","14.9"
